track,index,heading change,heading change per sec,altitude (ft),speed (kts),speed (mph),alt/speed ratio,vert rate/speed ratio,vert rate per sec
3,13581,0,0.0,36000.0,400.0,460.0,78.26086956521739,0.04782608695652174,0.7096774193548387
3,13587,0,0.0,36025.0,401.0,461.0,78.14533622559652,0.0,0.0
3,13595,0,0.0,36000.0,401.0,461.0,78.09110629067246,0.0650759219088937,-0.967741935483871
3,13602,8,0.42105263157894735,36000.0,413.0,475.0,75.78947368421052,0.0,0.0
3,13609,12,0.6666666666666666,36000.0,434.0,499.0,72.14428857715431,0.0841683366733467,2.3333333333333335
3,13612,7,0.3888888888888889,36025.0,448.0,516.0,69.81589147286822,0.05813953488372093,1.6666666666666667
3,13621,0,0.0,36025.0,446.0,513.0,70.22417153996102,0.04678362573099415,-0.75
3,13628,0,0.0,36000.0,444.0,511.0,70.45009784735812,0.04892367906066536,-0.8333333333333334
3,13634,0,0.0,36000.0,441.0,507.0,71.00591715976331,0.0,0.0
3,13640,0,0.0,36000.0,438.0,504.0,71.42857142857143,0.0,0.0
3,13645,0,0.0,36000.0,436.0,502.0,71.71314741035856,0.049800796812749,0.8333333333333334
3,13653,0,0.0,36025.0,435.0,501.0,71.9061876247505,0.0,0.0
3,13660,0,0.0,36000.0,435.0,501.0,71.8562874251497,0.04790419161676647,-0.8
3,13666,0,0.0,36000.0,433.0,498.0,72.28915662650603,0.04819277108433735,0.75
3,13673,0,0.0,36025.0,432.0,497.0,72.48490945674044,0.0,0.0
3,13680,3,0.0967741935483871,36000.0,425.0,489.0,73.61963190184049,0.0,0.0
3,13686,0,0.0,36025.0,425.0,489.0,73.67075664621677,0.05112474437627812,0.8333333333333334
3,13691,1,0.03333333333333333,36025.0,426.0,490.0,73.5204081632653,0.0,0.0
3,13698,0,0.0,36025.0,426.0,490.0,73.5204081632653,0.0,0.0
3,13705,0,0.0,36025.0,426.0,490.0,73.5204081632653,0.0,0.0
3,13711,0,0.0,36025.0,427.0,491.0,73.37067209775968,0.0,0.0
3,13717,0,0.0,36025.0,428.0,493.0,73.07302231237323,0.0,0.0
3,13723,0,0.0,36025.0,429.0,494.0,72.9251012145749,0.0,0.0
3,13730,0,0.0,36025.0,430.0,495.0,72.77777777777777,0.050505050505050504,-0.8064516129032258
3,13735,0,0.0,36000.0,431.0,496.0,72.58064516129032,0.0,0.0
